fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
73.0,50.0,4.0,94.0,140.0,50.0,240.0,300.0,1.0,-13.869065762814,9.8087266096181
69.4,50.0,4.0,101.2,140.0,50.0,240.0,300.0,1.0,-12.898271201287,9.3196848057721
65.8,50.0,4.0,108.4,140.0,50.0,240.0,300.0,0.9595,-12.986921523596,9.01378560041377
62.2,50.0,4.0,115.6,140.0,50.0,240.0,300.0,0.9505,-15.747822578534,9.05062808623882
58.6,50.0,4.0,122.8,140.0,50.0,240.0,300.0,0.9397,-20.877129470989,8.969764075330813
55.0,50.0,4.0,130.0,140.0,50.0,240.0,300.0,0.9298,-48.017488887537,9.256196001942445
51.4,50.0,4.0,137.2,140.0,50.0,240.0,300.0,0.919,-20.818344230367,9.50633267920644
47.8,50.0,4.0,144.4,140.0,50.0,240.0,300.0,0.9073,-15.005022988091,9.483146987972242
44.2,50.0,4.0,151.6,140.0,50.0,240.0,300.0,0.8947,-11.989362575264,9.16079356353472
40.6,50.0,4.0,158.8,140.0,50.0,240.0,300.0,0.883,-9.840130385784,8.87441426515358
37.0,50.0,4.0,166.0,140.0,50.0,240.0,300.0,0.8704,-8.4664483345264,8.626307915970107
33.4,50.0,4.0,173.2,140.0,50.0,240.0,300.0,0.8596,-7.5896047316288,8.45990196033832
29.8,50.0,4.0,180.4,140.0,50.0,240.0,300.0,0.8488,-6.8741117168485,8.176717331432329
26.2,50.0,4.0,187.6,140.0,50.0,240.0,300.0,0.8398,-6.226457968482,7.88257009836764
22.6,50.0,4.0,194.8,140.0,50.0,240.0,300.0,0.8344,-5.6888805079176,7.612133826558621
19.0,50.0,4.0,202.0,140.0,50.0,240.0,300.0,0.829,-5.2180350578325,7.36135513719842
73.0,50.0,4.0,94.0,148.0,50.0,240.0,300.0,0.6508,-15.096259154517,9.683586783576784
69.4,50.0,4.0,101.2,148.0,50.0,240.0,300.0,0.6256,-13.976927139261,9.557629652450029
65.8,50.0,4.0,108.4,148.0,50.0,240.0,300.0,0.9586,-13.02692079073,9.030503295656862
62.2,50.0,4.0,115.6,148.0,50.0,240.0,300.0,0.9469,-15.453125143462,8.8488319964248
58.6,50.0,4.0,122.8,148.0,50.0,240.0,300.0,0.937,-20.74410077738,8.83386074890678
55.0,50.0,4.0,130.0,148.0,50.0,240.0,300.0,0.9262,-48.720940711265,8.990138321882984
51.4,50.0,4.0,137.2,148.0,50.0,240.0,300.0,0.9154,-21.544113026202,9.081658571900235
47.8,50.0,4.0,144.4,148.0,50.0,240.0,300.0,0.9046,-15.553947592325,9.070686478215748
44.2,50.0,4.0,151.6,148.0,50.0,240.0,300.0,0.8938,-12.295477534714,8.847713156199685
40.6,50.0,4.0,158.8,148.0,50.0,240.0,300.0,0.8803,-10.337909316813,8.555801431921287
37.0,50.0,4.0,166.0,148.0,50.0,240.0,300.0,0.8686,-9.0477096296353,8.260041814411206
