fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
49,50,4,142,186,86,240,300,0.8416,-18.20910402,9.709532503
52,50,4,136,180,81,240,300,0.8452,-16.38434188,9.344457876
52,50,4,136,180,82,240,300,0.847,-15.38004601,9.498012186
52,50,4,136,180,83,240,300,0.847,-14.9147327,9.523493237
52,50,4,136,180,84,240,300,0.847,-14.33061272,9.596769386
52,50,4,136,180,85,240,300,0.8452,-14.29927727,9.612758642
52,50,4,136,180,86,240,300,0.8452,-14.04595109,9.625273009
52,50,4,136,181,80,240,300,0.8416,-18.63702363,9.033469896
52,50,4,136,181,81,240,300,0.8461,-15.97127802,9.363769259
52,50,4,136,181,82,240,300,0.8452,-15.44790425,9.427942011
52,50,4,136,181,83,240,300,0.8461,-14.97634841,9.482412472
52,50,4,136,181,84,240,300,0.8461,-14.57756118,9.554692717
52,50,4,136,181,85,240,300,0.8443,-14.38416606,9.611727445
52,50,4,136,181,86,240,300,0.5374,-13.40953931,8.111642473
52,50,4,136,182,80,240,300,0.8416,-18.8044658,9.042101428
52,50,4,136,182,81,240,300,0.8452,-16.32648243,9.320124288
52,50,4,136,182,82,240,300,0.8461,-15.26126333,9.431967271
52,50,4,136,182,83,240,300,0.8461,-14.69902387,9.510598818
52,50,4,136,182,84,240,300,0.8461,-14.48776112,9.575317103
52,50,4,136,182,85,240,300,0.8452,-14.14744864,9.580208988
52,50,4,136,182,86,240,300,0.8443,-13.87609502,9.553919337
52,50,4,136,183,80,240,300,0.8407,-18.6690043,9.069229912
52,50,4,136,183,81,240,300,0.8452,-15.94733578,9.332613251
52,50,4,136,183,82,240,300,0.8452,-15.34871146,9.408658045
52,50,4,136,183,83,240,300,0.847,-14.43945489,9.486591215
52,50,4,136,183,84,240,300,0.8461,-14.26875356,9.545132579
52,50,4,136,183,85,240,300,0.8452,-14.20835228,9.533139128
52,50,4,136,183,86,240,300,0.8443,-13.73708512,9.598603633
52,50,4,136,184,80,240,300,0.8407,-18.66533793,9.015425746
52,50,4,136,184,81,240,300,0.8443,-16.26736494,9.288270862
52,50,4,136,184,82,240,300,0.8461,-15.22153062,9.426435503
52,50,4,136,184,83,240,300,0.8461,-14.81319744,9.482647653
52,50,4,136,184,84,240,300,0.8461,-14.17702112,9.579010076
52,50,4,136,184,85,240,300,0.8443,-14.4413858,9.580022836
52,50,4,136,184,86,240,300,0.8434,-13.85795965,9.573390817
52,50,4,136,185,80,240,300,0.8407,-18.65604239,8.989353544
52,50,4,136,185,81,240,300,0.8443,-16.44374568,9.274288838
52,50,4,136,185,82,240,300,0.8452,-15.3079677,9.375035754
52,50,4,136,185,83,240,300,0.8443,-14.70491906,9.491195575
52,50,4,136,185,84,240,300,0.8452,-14.27542678,9.523695412
52,50,4,136,185,85,240,300,0.8443,-14.42466556,9.542474558
52,50,4,136,185,86,240,300,0.8434,-13.8938288,9.611884752
52,50,4,136,186,80,240,300,0.8407,-18.54705399,8.993212697
52,50,4,136,186,81,240,300,0.8443,-16.38156699,9.298174037
52,50,4,136,186,82,240,300,0.8515,-13.11680875,9.423392482
52,50,4,136,186,83,240,300,0.8452,-14.5284006,9.506243834
52,50,4,136,186,84,240,300,0.8452,-14.1507921,9.532650136
52,50,4,136,186,85,240,300,0.8434,-14.1090275,9.518687738
52,50,4,136,186,86,240,300,0.5356,-13.58633585,8.107588679
51.5,50,4,137,180,80,240,300,0.8407,-19.84303797,9.086222329
51.5,50,4,137,180,81,240,300,0.8452,-17.22104781,9.41827918
51.5,50,4,137,180,82,240,300,0.8533,-13.8725713,9.54665092
51.5,50,4,137,180,83,240,300,0.8461,-15.71919248,9.504625213
51.5,50,4,137,180,84,240,300,0.847,-14.90255205,9.612521482
51.5,50,4,137,180,85,240,300,0.8461,-14.71402327,9.661658512
51.5,50,4,137,180,86,240,300,0.8443,-14.59742603,9.654782302
51.5,50,4,137,181,80,240,300,0.8407,-19.59733717,9.064095508
51.5,50,4,137,181,81,240,300,0.8452,-17.20635638,9.409050036
51.5,50,4,137,181,82,240,300,0.8506,-14.7206862,9.577270954
51.5,50,4,137,181,83,240,300,0.8461,-15.39120678,9.507965778
51.5,50,4,137,181,84,240,300,0.8497,-13.89023838,9.650285382
51.5,50,4,137,181,85,240,300,0.8443,-14.91092794,9.554444761
51.5,50,4,137,181,86,240,300,0.8452,-14.52350793,9.671577599
51.5,50,4,137,182,80,240,300,0.8407,-19.63674798,9.051494992
51.5,50,4,137,182,81,240,300,0.8488,-15.87460074,9.372101414
