Serial Number,Substrate Thickness,Patch Length,Patch Width,Frequency,Return Loss (s11),Gain
1,80,136,180,0.6535,-23.114,9.973
3,82,136,180,0.6769,-32.885,9.2812
4,83,136,180,0.6805,-56.37,9.1623
5,84,136,180,0.6841,-47.889,9.0913
6,85,136,180,0.6841,-38.306,9.0199
7,86,136,180,0.6859,-43.05,9.064
8,87,136,180,0.6868,-32.648,8.9492
9,88,136,180,0.6877,-35.736,8.9886
10,89,136,180,0.6877,-33.979,8.986
11,80,136,181,0.6517,-23.544,9.9374
12,81,136,181,0.6616,-27.987,9.693
13,82,136,181,0.676,-34.523,9.3543
14,83,136,181,0.6796,-37.157,9.2259
15,84,136,181,0.8821,-2.5331,9.3459
16,85,136,181,0.6841,-39.214,9.078
17,86,136,181,0.685,-30.947,8.9102
18,87,136,181,0.6868,-35.561,8.9764
19,88,136,181,0.6877,-30.188,8.9484
20,89,136,181,0.6877,-29.507,8.9278
21,80,136,182,0.6517,-23.798,9.9304
22,81,136,182,0.6607,-24.65,9.6055
23,82,136,182,0.6751,-33.157,9.3244
24,83,136,182,0.6778,-44.416,9.2038
25,84,136,182,0.8839,-2.5619,9.2727
26,85,136,182,0.6841,-40.132,9.0596
27,86,136,182,0.685,-35.851,9.0064
28,87,136,182,0.685,-31.142,8.9437
29,88,136,182,0.6868,-36.454,8.9569
30,89,136,182,0.6868,-31.082,8.8669
31,80,136,183,0.6508,-23.794,9.9158
32,81,136,183,0.6616,-25.084,9.7077
33,82,136,183,0.667,-31.09,9.4374
34,83,136,183,0.6787,-42.779,9.207
35,84,136,183,0.8821,-2.5545,9.2862
36,85,136,183,0.6832,-38.692,9.1301
37,86,136,183,0.685,-33.794,8.9914
38,87,136,183,0.6859,-29.929,8.9207
39,88,136,183,0.6859,-30.595,8.9328
40,89,136,183,0.6859,-31.662,8.9451
41,80,136,184,0.6499,-24.098,9.918
42,81,136,184,0.6598,-24.394,9.6539
43,82,136,184,0.6661,-30.854,9.4261
44,83,136,184,0.6778,-41.765,9.2116
45,84,136,184,0.8794,-2.513,9.2717
46,85,136,184,0.6823,-35.215,9.1016
47,86,136,184,0.6841,-31.369,9.0095
48,87,136,184,0.685,-36.52,8.958
49,88,136,184,0.6859,-31.449,8.9569
50,89,136,184,0.6859,-27.996,8.894
51,80,136,185,0.6499,-24.86,9.923
52,81,136,185,0.6598,-25.778,9.5978
53,82,136,185,0.6814,-36.961,9.286
54,83,136,185,0.676,-36.472,9.2661
55,84,136,185,0.8812,-2.5484,9.1637
56,85,136,185,0.6814,-29.289,9.0269
57,86,136,185,0.6832,-37.114,9.0629
58,87,136,185,0.6832,-30.775,8.9244
59,88,136,185,0.6859,-28.877,8.9501
60,89,136,185,0.6859,-28.378,8.8733
61,80,136,186,0.649,-24.729,9.9216
62,81,136,186,0.6589,-27.899,9.6575
63,82,136,186,0.6706,-40.173,9.3695
64,83,136,186,0.676,-42.903,9.2025
65,84,136,186,0.4114,-1.4831,7.1178
66,85,136,186,0.6805,-30.09,9.0468
67,86,136,186,0.6823,-29.383,8.9989
68,87,136,186,0.6823,-26.328,8.9101
69,88,136,186,0.6841,-28.145,8.8609
70,89,136,186,0.6841,-28.279,8.8945
71,80,136,187,0.6481,-25.264,9.9078
72,81,136,187,0.658,-26.635,9.6223
73,82,136,187,0.6652,-38.984,9.3917
74,83,136,187,0.406,-1.4459,7.4373
75,84,136,187,0.6778,-41.868,9.1246
76,85,136,187,0.6796,-34.285,9.0885
77,86,136,187,0.6814,-32.112,9.077
78,87,136,187,0.6823,-29.235,8.9904
79,88,136,187,0.6823,-28.279,8.9262
80,89,136,187,0.685,-28.309,8.8974
81,80,136,188,0.6481,-25.702,9.9015
82,81,136,188,0.658,-27.083,9.6568
83,82,136,188,0.6715,-37.973,9.3063
84,83,136,188,0.676,-42.678,9.209
85,84,136,188,0.6787,-36.929,9.0778
86,85,136,188,0.6805,-35.411,9.0853
87,86,136,188,0.6805,-32.52,9.052
88,87,136,188,0.6823,-29.972,8.9059
89,88,136,188,0.6832,-29.279,8.9088
90,89,136,188,0.6841,-27.858,8.8419
91,80,136,189,0.6472,-26.17,9.904
92,81,136,189,0.36571,-26.538,8.9892
93,82,136,189,0.3862,-1.3436,7.8587
94,83,136,189,0.6751,-41.406,9.1839
95,84,136,189,0.6778,-33.102,9.1019
96,85,136,189,0.2593,-6.8457,3.6821
97,86,136,189,0.6805,-29.078,8.9922
98,87,136,189,0.4222,-1.5855,6.7837
99,88,136,189,0.6841,-26.793,8.8861
100,89,136,189,0.4276,-1.6656,6.7869
101,80,137,180,0.6517,-22.118,9.9565
102,81,137,180,0.6688,-23.576,9.5075
103,82,137,180,0.6733,-30.178,9.3034
104,83,137,180,0.406,-1.4335,7.5673
105,84,137,180,0.4123,-1.4839,7.2261
106,85,137,180,0.4195,-1.5374,7.0457
107,86,137,180,0.685,-38.095,8.9519
108,87,137,180,0.4294,-1.6111,6.9681
109,88,137,180,0.4321,-1.6514,7.0046
110,89,137,180,0.4339,-1.6667,7.70078
111,80,137,181,0.6508,-22.108,9.9252
112,81,137,181,0.3736,-1.2343,8.6241
113,82,137,181,0.6742,-28.918,9.3717
114,83,137,181,0.4087,-1.4599,7.474
115,84,137,181,0.4132,-1.489,7.2233
116,85,137,181,0.4258,-1.5891,6.9856
117,86,137,181,0.4213,-1.5599,6.9001
118,87,137,181,0.4276,-1.6051,6.9458
119,88,137,181,0.6904,-27.107,8.8961
120,89,137,181,0.6868,-32.564,8.8651
121,80,137,182,0.6499,-22.459,9.9392
122,81,137,182,0.6679,-25.154,9.4191
123,82,137,182,0.3934,-1.3597,7.8499
124,83,137,182,0.4069,-1.4405,8.0992
125,84,137,182,0.4168,-1.5143,7.3089
126,85,137,182,0.4177,-1.5339,6.9876
127,86,137,182,0.6841,-35.583,9.0043
128,87,137,182,0.4348,-1.664,7.1099
129,88,137,182,0.6841,-36.751,8.9006
130,89,137,182,0.6904,-26.56,8.8324
131,80,137,183,0.649,-22.35,9.9207
132,81,137,183,0.6589,-25.146,9.7267
133,82,137,183,0.3943,-1.3716,7.7803
134,83,137,183,0.6742,-35.55,9.2251
135,84,137,183,0.6805,-42.942,9.121
136,85,137,183,0.4186,-1.5297,7.0333
137,86,137,183,0.4276,-1.5922,7.1029
138,87,137,183,0.4285,-1.6186,6.9824
139,88,137,183,0.4321,-1.6585,6.9886
140,89,137,183,0.4285,-1.6594,6.8472
141,80,137,184,0.6481,-22.684,9.9305
142,81,137,184,0.658,-26.448,9.7015
143,82,137,184,0.406,-1.4494,7.5567
144,83,137,184,0.406,-1.4373,7.3572
145,84,137,184,0.4123,-1.4695,7.1662
146,85,137,184,0.6805,-42.201,9.0178
147,86,137,184,0.4222,-1.579,6.9558
148,87,137,184,0.6841,-34.644,8.9353
149,88,137,184,0.4303,-1.6435,6.9362
150,89,137,184,0.6841,-30.379,8.8991
151,80,137,185,0.6472,-22.593,9.9174
152,81,137,185,0.6661,-24.252,9.557
153,82,137,185,0.6778,-35.537,9.2863
154,83,137,185,0.6751,-14.915,9.179
155,84,137,185,0.6778,-43.032,9.1532
156,85,137,185,0.6814,-33.365,8.975
157,86,137,185,0.4204,-1.5594,6.8981
158,87,137,185,0.6823,-34.666,8.951
159,88,137,185,0.6886,-26.99,8.8667
160,89,137,185,0.6895,-25.208,8.7832
