fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
69.5,50.0,4.0,101.0,139.0,49.0,240.0,300.0,1.0,-12.924013057579,9.7510903334886
69.5,50.0,4.0,101.0,149.0,49.0,240.0,300.0,0.6283,-13.859783756613,9.581102766491366
69.5,50.0,4.0,101.0,159.0,49.0,240.0,300.0,0.6238,-16.181561577963,9.550627848474829
69.5,50.0,4.0,101.0,169.0,49.0,240.0,300.0,0.6202,-19.489268014159,9.471675546164608
69.5,50.0,4.0,101.0,179.0,49.0,240.0,300.0,0.622,-26.957985076583,9.39144544592692
69.5,50.0,4.0,101.0,189.0,49.0,240.0,300.0,0.6175,-33.6166008037,9.1962508140317
69.5,50.0,4.0,101.0,199.0,49.0,240.0,300.0,0.64,-33.683303284541,8.6024232677191
69.5,50.0,4.0,101.0,209.0,49.0,240.0,300.0,0.6364,-20.863397837171,7.719154256240325
69.5,50.0,4.0,101.0,219.0,49.0,240.0,300.0,1.0,-21.961330896485,9.2312376535852
69.5,50.0,4.0,101.0,229.0,49.0,240.0,300.0,1.0,-24.666508480508,9.1641741184805
69.5,50.0,4.0,101.0,239.0,49.0,240.0,300.0,1.0,-25.814609156159,9.0532236787513
69.5,50.0,4.0,101.0,249.0,49.0,240.0,300.0,1.0,-24.526540061452,8.9803573545472
69.5,50.0,4.0,101.0,259.0,49.0,240.0,300.0,1.0,-23.066685740522,8.9801761082957
69.5,50.0,4.0,101.0,139.0,53.9,240.0,300.0,0.6229,-14.172201170439,8.595832106901698
69.5,50.0,4.0,101.0,149.0,53.9,240.0,300.0,0.6175,-16.094850954288,9.455753913077325
69.5,50.0,4.0,101.0,159.0,53.9,240.0,300.0,0.613,-19.12644703775,9.403619144727669
69.5,50.0,4.0,101.0,169.0,53.9,240.0,300.0,0.6085,-23.486762507275,9.329484527718265
69.5,50.0,4.0,101.0,179.0,53.9,240.0,300.0,0.6049,-37.90966396731,9.127291093772135
69.5,50.0,4.0,101.0,189.0,53.9,240.0,300.0,0.5986,-27.059543191321,8.793886255741429
69.5,50.0,4.0,101.0,199.0,53.9,240.0,300.0,0.6319,-28.636184255932,8.221174717156165
69.5,50.0,4.0,101.0,209.0,53.9,240.0,300.0,0.6265,-30.893957054183,7.967515465981571
69.5,50.0,4.0,101.0,219.0,53.9,240.0,300.0,0.6202,-22.947629586275,7.953579202153448
69.5,50.0,4.0,101.0,229.0,53.9,240.0,300.0,1.0,-25.834415531624,9.3764096822462
69.5,50.0,4.0,101.0,239.0,53.9,240.0,300.0,1.0,-29.840781934265,9.309043770717
69.5,50.0,4.0,101.0,249.0,53.9,240.0,300.0,1.0,-36.546642802775,9.2602753628629
